Index,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Finger1,Finger2,Finger3,Finger4,Finger5,Iteration,Gesture
92,8.81,-2.66,1.39,-0.2,0.04,0.26,531.0,569.0,522.0,560.0,543.0,1,2
93,10.35,-0.97,3.04,-0.22,0.18,0.34,533.0,568.0,523.0,560.0,544.0,1,2
94,10.2,-2.75,4.6,0.16,0.06,-0.04,532.0,569.0,522.0,561.0,544.0,1,2
95,9.79,-1.03,2.57,-0.15,-0.1,-0.13,534.0,569.0,523.0,561.0,544.0,1,2
96,10.03,-2.85,1.36,-0.13,0.08,-0.07,532.0,570.0,523.0,561.0,544.0,1,2
97,8.76,-6.66,0.5,-0.12,-0.07,-0.12,533.0,569.0,523.0,561.0,544.0,1,2
98,9.37,-7.69,0.13,-0.31,0.04,0.24,532.0,570.0,522.0,559.0,541.0,1,2
99,6.85,-5.98,0.76,0.09,0.09,0.25,531.0,569.0,524.0,559.0,542.0,1,2
100,9.31,-3.49,2.04,-0.06,-0.16,0.03,533.0,569.0,524.0,561.0,542.0,1,2
101,9.27,2.67,3.61,0.11,-0.22,-0.08,532.0,569.0,524.0,560.0,543.0,1,2
102,13.23,1.9,4.01,0.26,-0.06,-0.02,533.0,569.0,524.0,561.0,544.0,1,2
103,9.77,-0.55,3.11,0.14,0.1,-0.17,533.0,570.0,524.0,561.0,545.0,1,2
104,9.47,-4.57,0.25,-0.16,-0.11,-0.45,533.0,570.0,524.0,562.0,545.0,1,2
105,7.33,-9.03,-1.21,-0.01,0.04,-0.21,532.0,569.0,524.0,561.0,544.0,1,2
106,5.98,-7.09,-0.33,0.28,0.13,0.31,530.0,568.0,524.0,560.0,542.0,1,2
107,8.46,-4.87,0.48,0.08,-0.08,0.24,531.0,568.0,524.0,560.0,542.0,1,2
108,10.1,-1.42,2.51,-0.01,0.2,0.42,531.0,569.0,524.0,561.0,543.0,1,2
109,12.63,2.27,5.09,-0.01,-0.31,0.08,532.0,569.0,524.0,561.0,544.0,1,2
110,9.9,1.48,4.11,0.0,0.04,-0.23,533.0,570.0,525.0,562.0,544.0,1,2
111,11.0,-1.19,2.62,-0.14,-0.18,-0.28,533.0,569.0,525.0,562.0,544.0,1,2
112,8.47,-4.58,0.5,-0.25,-0.09,-0.37,532.0,568.0,526.0,562.0,544.0,1,2
113,9.41,-6.16,-0.24,-0.01,0.28,-0.06,532.0,570.0,526.0,562.0,544.0,1,2
114,7.46,-7.49,-0.23,0.22,0.3,0.37,531.0,570.0,526.0,561.0,541.0,1,2
115,6.69,-6.1,0.93,0.09,-0.05,0.28,533.0,570.0,526.0,561.0,538.0,1,2
116,8.36,-3.49,1.04,0.04,-0.13,0.39,533.0,571.0,526.0,561.0,539.0,1,2
117,10.45,-0.44,3.98,0.11,0.11,0.48,534.0,571.0,527.0,561.0,539.0,1,2
118,9.59,1.34,4.67,0.05,-0.45,-0.12,533.0,571.0,527.0,561.0,539.0,1,2
119,11.21,0.16,2.87,-0.28,-0.27,-0.25,534.0,572.0,527.0,560.0,538.0,1,2
120,8.23,-2.62,1.69,-0.01,-0.11,-0.25,534.0,571.0,527.0,560.0,538.0,1,2
121,9.71,-5.16,-0.37,-0.18,-0.5,-0.29,534.0,571.0,527.0,560.0,538.0,1,2
122,7.91,-8.68,-0.04,0.15,0.06,0.1,534.0,572.0,527.0,560.0,537.0,1,2
123,6.76,-6.8,0.39,0.04,-0.48,0.08,534.0,571.0,527.0,559.0,537.0,1,2
124,9.89,-5.29,0.73,0.3,-0.07,0.35,534.0,570.0,527.0,560.0,538.0,1,2
125,10.43,-2.27,2.67,0.3,-0.66,0.02,534.0,570.0,528.0,560.0,538.0,1,2
126,11.6,3.24,3.88,0.28,-0.19,0.04,534.0,570.0,528.0,560.0,538.0,1,2
127,11.05,0.83,4.13,-0.06,-0.14,-0.27,534.0,570.0,528.0,561.0,539.0,1,2
128,10.96,-1.61,1.43,-0.04,-0.04,-0.4,532.0,569.0,528.0,561.0,540.0,1,2
129,8.39,-4.73,-0.79,-0.21,0.08,-0.47,530.0,568.0,526.0,560.0,539.0,1,2
130,8.05,-8.33,-1.68,-0.0,0.15,-0.12,530.0,567.0,527.0,559.0,538.0,1,2
131,6.67,-7.42,-0.91,0.4,0.31,0.49,529.0,567.0,525.0,558.0,536.0,1,2
132,9.23,-5.13,-0.87,0.09,0.15,0.47,530.0,567.0,527.0,558.0,537.0,1,2
133,9.64,-1.52,3.52,0.18,0.27,0.56,531.0,568.0,527.0,560.0,538.0,1,2
134,11.63,4.3,5.14,-0.04,-0.18,-0.04,531.0,568.0,528.0,560.0,539.0,1,2
135,10.22,2.69,3.82,0.03,0.06,-0.16,532.0,569.0,528.0,560.0,540.0,1,2
136,11.02,-0.5,2.46,-0.28,-0.11,-0.48,531.0,568.0,528.0,561.0,541.0,1,2
137,8.55,-4.39,0.11,-0.44,-0.05,-0.59,531.0,568.0,528.0,561.0,540.0,1,2
138,7.42,-10.25,-1.47,-0.25,-0.06,-0.37,531.0,567.0,528.0,560.0,540.0,1,2
139,5.54,-8.04,0.27,0.45,0.59,0.57,530.0,567.0,527.0,560.0,538.0,1,2
140,8.0,-5.23,0.34,0.14,0.23,0.47,531.0,568.0,528.0,560.0,538.0,1,2
141,10.83,-2.87,2.74,0.15,-0.23,0.44,532.0,568.0,529.0,560.0,540.0,1,2
142,12.18,2.59,4.72,-0.04,-0.03,0.22,532.0,570.0,529.0,561.0,540.0,1,2
143,10.11,3.51,3.82,-0.1,-0.09,-0.09,533.0,570.0,530.0,561.0,540.0,1,2
144,10.99,0.38,2.23,-0.3,-0.15,-0.3,534.0,570.0,530.0,561.0,540.0,1,2
145,9.95,-3.55,0.58,-0.57,-0.15,-0.42,535.0,570.0,530.0,561.0,539.0,1,2
146,7.63,-12.57,-0.1,-0.45,0.11,-0.13,534.0,570.0,530.0,559.0,537.0,1,2
147,5.85,-8.99,-0.58,0.19,-0.08,0.2,535.0,570.0,530.0,559.0,535.0,1,2
148,6.95,-5.84,-0.97,0.43,-0.1,0.52,533.0,571.0,530.0,560.0,536.0,1,2
149,10.99,-3.11,2.58,0.34,0.02,0.68,534.0,570.0,530.0,560.0,537.0,1,2
150,9.56,-3.18,0.16,-0.06,-0.21,-0.07,556.0,563.0,536.0,560.0,536.0,2,2
